Nom,Age,Nationalite,Prix_Raw,URL_Profil,Matchs_22_23,Buts_22_23,Passes_22_23,Minutes_22_23,Position
Boulaye Dia,,Sénégal,"14,40 mio. €",https://www.transfermarkt.fr/boulaye-dia/profil/spieler/626913,33,16,6,2526,À récupérer
Timothy Castagne,,Belgique,"13,00 mio. €",https://www.transfermarkt.fr/timothy-castagne/profil/spieler/262226,42,2,4,3562,À récupérer
Franck Kessié,,Côte d'Ivoire,"12,50 mio. €",https://www.transfermarkt.fr/franck-kessie/profil/spieler/294808,43,3,3,1801,À récupérer
Arnaut Danjuma,,Pays-Bas,"Montant du prêt:3,00 mio. €",https://www.transfermarkt.fr/arnaut-danjuma/profil/spieler/355861,29,8,0,1012,À récupérer
Kieran Tierney,,Écosse,"Montant du prêt:1,40 mio. €",https://www.transfermarkt.fr/kieran-tierney/profil/spieler/300716,36,1,2,1459,À récupérer
Tetê,,Brésil,"1,00 mio. €",https://www.transfermarkt.fr/tete/profil/spieler/371256,33,7,5,2108,À récupérer
Mattéo Guendouzi,,France,"Montant du prêt:1,00 mio. €",https://www.transfermarkt.fr/matteo-guendouzi/profil/spieler/465830,43,5,5,2889,À récupérer
Alejandro Grimaldo,,Espagne,Tr. libre,https://www.transfermarkt.fr/alejandro-grimaldo/profil/spieler/193082,54,8,16,4821,À récupérer
Youri Tielemans,,Belgique,Tr. libre,https://www.transfermarkt.fr/youri-tielemans/profil/spieler/249565,37,4,2,2829,À récupérer
Marco Asensio,,Espagne,Tr. libre,https://www.transfermarkt.fr/marco-asensio/profil/spieler/296622,51,12,8,2029,À récupérer
Karim Benzema,,France,Tr. libre,https://www.transfermarkt.fr/karim-benzema/profil/spieler/18922,43,31,6,3631,À récupérer
Orel Mangala,,Belgique,"Montant du prêt:11,70 mio. €",https://www.transfermarkt.fr/orel-mangala/profil/spieler/289592,32,1,1,1910,À récupérer
Anatoliy Trubin,,Ukraine,"10,00 mio. €",https://www.transfermarkt.fr/anatoliy-trubin/profil/spieler/537844,38,0,2,3450,À récupérer
Djibril Sow,,Suisse,"10,00 mio. €",https://www.transfermarkt.fr/djibril-sow/profil/spieler/212723,47,4,0,3931,À récupérer
Saïd Benrahma,,Algérie,"Montant du prêt:6,00 mio. €",https://www.transfermarkt.fr/said-benrahma/profil/spieler/290532,52,12,5,3034,À récupérer
Charles De Ketelaere,,Belgique,"Montant du prêt:3,00 mio. €",https://www.transfermarkt.fr/charles-de-ketelaere/profil/spieler/435772,40,0,1,1481,À récupérer
Wilfried Zaha,,Côte d'Ivoire,Tr. libre,https://www.transfermarkt.fr/wilfried-zaha/profil/spieler/145988,28,7,3,2384,À récupérer
Marcel Sabitzer,,Autriche,"19,00 mio. €",https://www.transfermarkt.fr/marcel-sabitzer/profil/spieler/106987,42,4,2,2054,À récupérer
Merih Demiral,,Turquie,"17,00 mio. €",https://www.transfermarkt.fr/merih-demiral/profil/spieler/340879,28,1,0,1524,À récupérer
Noah Okafor,,Suisse,"15,50 mio. €",https://www.transfermarkt.fr/noah-okafor/profil/spieler/346890,32,10,5,1851,À récupérer
Granit Xhaka,,Suisse,"15,00 mio. €",https://www.transfermarkt.fr/granit-xhaka/profil/spieler/111455,47,9,7,3704,À récupérer
Cengiz Ünder,,Turquie,"15,00 mio. €",https://www.transfermarkt.fr/cengiz-under/profil/spieler/341647,46,5,6,2924,À récupérer
Ludovic Blas,,France,"15,00 mio. €",https://www.transfermarkt.fr/ludovic-blas/profil/spieler/288225,51,12,8,3945,À récupérer
Sander Berge,,Norvège,"13,90 mio. €",https://www.transfermarkt.fr/sander-berge/profil/spieler/333014,43,7,6,3425,À récupérer
Ismaïla Sarr,,Sénégal,"13,00 mio. €",https://www.transfermarkt.fr/ismaila-sarr/profil/spieler/410225,39,10,6,3181,À récupérer
Fred,,Brésil,"9,74 mio. €",https://www.transfermarkt.fr/fred/profil/spieler/191614,56,6,6,2277,À récupérer
Demarai Gray,,Jamaïque,"9,30 mio. €",https://www.transfermarkt.fr/demarai-gray/profil/spieler/292417,36,6,1,2715,À récupérer
Ian Maatsen,,Pays-Bas,"Montant du prêt:2,30 mio. €",https://www.transfermarkt.fr/ian-maatsen/profil/spieler/485585,42,4,6,3552,À récupérer
Armel Bella-Kotchap,,Allemagne,"Montant du prêt:2,00 mio. €",https://www.transfermarkt.fr/armel-bella-kotchap/profil/spieler/467563,26,0,2,2020,À récupérer
Daniel Podence,,Portugal,"Montant du prêt:1,50 mio. €",https://www.transfermarkt.fr/daniel-podence/profil/spieler/256977,37,6,1,1925,À récupérer
Giovanni Reyna,,États-Unis,"Montant du prêt:1,00 mio. €",https://www.transfermarkt.fr/giovanni-reyna/profil/spieler/504215,30,7,4,1016,À récupérer
Ramy Bensebaini,,Algérie,Tr. libre,https://www.transfermarkt.fr/ramy-bensebaini/profil/spieler/284732,30,7,1,2570,À récupérer
Raphaël Guerreiro,,Portugal,Tr. libre,https://www.transfermarkt.fr/raphael-guerreiro/profil/spieler/170986,36,6,14,3047,À récupérer
İlkay Gündoğan,,Allemagne,Tr. libre,https://www.transfermarkt.fr/ilkay-gundogan/profil/spieler/53622,51,11,7,3856,À récupérer
Jefferson Lerma,,Colombie,Tr. libre,https://www.transfermarkt.fr/jefferson-lerma/profil/spieler/262980,37,5,0,3255,À récupérer
Jonathan Bamba,,Côte d'Ivoire,Tr. libre,https://www.transfermarkt.fr/jonathan-bamba/profil/spieler/292818,35,6,7,2872,À récupérer
Ivan Ilić,,Serbie,"16,50 mio. €",https://www.transfermarkt.fr/ivan-ilic/profil/spieler/470794,27,2,4,2151,À récupérer
Mauro Icardi,,Argentine,"10,00 mio. €",https://www.transfermarkt.fr/mauro-icardi/profil/spieler/68863,26,23,8,2009,À récupérer
Dean Henderson,,Angleterre,"17,50 mio. €",https://www.transfermarkt.fr/dean-henderson/profil/spieler/258919,20,0,2,1800,À récupérer
Iliman Ndiaye,,Sénégal,"17,00 mio. €",https://www.transfermarkt.fr/iliman-ndiaye/profil/spieler/623570,52,15,12,4108,À récupérer
Mohammed Salisu,,Ghana,"15,00 mio. €",https://www.transfermarkt.fr/mohammed-salisu/profil/spieler/563963,28,0,1,2439,À récupérer
Jesper Karlsson,,Suède,"11,15 mio. €",https://www.transfermarkt.fr/jesper-karlsson/profil/spieler/367992,33,13,8,2483,À récupérer
Sebastian Szymanski,,Pologne,"10,70 mio. €",https://www.transfermarkt.fr/sebastian-szymanski/profil/spieler/320748,40,10,7,2812,À récupérer
Nuno Tavares,,Portugal,"Montant du prêt:1,15 mio. €",https://www.transfermarkt.fr/nuno-tavares/profil/spieler/535955,39,6,0,3014,À récupérer
Kepa Arrizabalaga,,Espagne,"Montant du prêt:1,00 mio. €",https://www.transfermarkt.fr/kepa-arrizabalaga/profil/spieler/192279,39,0,3,3466,À récupérer
Robin Koch,,Allemagne,Montant du prêt:500 K €,https://www.transfermarkt.fr/robin-koch/profil/spieler/328784,39,0,0,3388,À récupérer
Manor Solomon,,Israël,Tr. libre,https://www.transfermarkt.fr/manor-solomon/profil/spieler/396638,24,5,0,829,À récupérer
Nicolas Pépé,,Côte d'Ivoire,Tr. libre,https://www.transfermarkt.fr/nicolas-pepe/profil/spieler/343052,28,8,1,2145,À récupérer
Roberto Firmino,,Brésil,Tr. libre,https://www.transfermarkt.fr/roberto-firmino/profil/spieler/131789,35,13,5,1710,À récupérer
