Nom,Age,Nationalite,Prix_Raw,URL_Profil,Matchs_22_23,Buts_22_23,Passes_22_23,Minutes_22_23,Position
Franck Honorat,,France,"8,00 mio. €",https://www.transfermarkt.fr/franck-honorat/profil/spieler/229006,35,6,6,2638,À récupérer
Daniel Muñoz,,Colombie,"8,00 mio. €",https://www.transfermarkt.fr/daniel-munoz/profil/spieler/493003,39,8,7,3410,À récupérer
Ruslan Malinovskyi,,Ukraine,"7,70 mio. €",https://www.transfermarkt.fr/ruslan-malinovskyi/profil/spieler/207877,38,3,3,2029,À récupérer
Julian Weigl,,Allemagne,"7,18 mio. €",https://www.transfermarkt.fr/julian-weigl/profil/spieler/196792,27,1,1,2063,À récupérer
Junior Dina Ebimbe,,Cameroun,"6,50 mio. €",https://www.transfermarkt.fr/junior-dina-ebimbe/profil/spieler/536482,29,3,1,1466,À récupérer
Calvin Stengs,,Pays-Bas,"6,00 mio. €",https://www.transfermarkt.fr/calvin-stengs/profil/spieler/409344,37,3,9,2814,À récupérer
Auston Trusty,,États-Unis,"5,80 mio. €",https://www.transfermarkt.fr/auston-trusty/profil/spieler/389253,48,4,2,4320,À récupérer
Juan Brunetta,,Argentine,"5,40 mio. €",https://www.transfermarkt.fr/juan-brunetta/profil/spieler/466268,39,11,9,3124,À récupérer
Sergio Camello,,Espagne,"5,00 mio. €",https://www.transfermarkt.fr/sergio-camello/profil/spieler/505674,41,7,5,2608,À récupérer
Zeki Amdouni,,Suisse,"4,00 mio. €",https://www.transfermarkt.fr/zeki-amdouni/profil/spieler/548729,52,22,5,3829,À récupérer
Djed Spence,,Angleterre,"Montant du prêt:1,10 mio. €",https://www.transfermarkt.fr/djed-spence/profil/spieler/483348,16,0,0,827,À récupérer
Benjamín Rollheiser,,Argentine,"Montant du prêt:1,00 mio. €",https://www.transfermarkt.fr/benjamin-rollheiser/profil/spieler/491704,57,12,8,4345,À récupérer
Deniz Undav,,Allemagne,Montant du prêt:700 K €,https://www.transfermarkt.fr/deniz-undav/profil/spieler/339314,30,8,1,923,À récupérer
Fran Navarro,,Espagne,Montant du prêt:250 K €,https://www.transfermarkt.fr/fran-navarro/profil/spieler/284883,43,21,3,3689,À récupérer
Caleb Okoli,,Italie,Montant du prêt:100 K €,https://www.transfermarkt.fr/caleb-okoli/profil/spieler/461833,17,0,0,953,À récupérer
Hamari Traoré,,Mali,Tr. libre,https://www.transfermarkt.fr/hamari-traore/profil/spieler/297070,36,1,4,2974,À récupérer
Daler Kuzyaev,,Russie,Tr. libre,https://www.transfermarkt.fr/daler-kuzyaev/profil/spieler/279570,35,5,7,2541,À récupérer
Manu Sánchez,,Espagne,Tr. libre,https://www.transfermarkt.fr/manu-sanchez/profil/spieler/618809,36,0,4,2470,À récupérer
Iñigo Martínez,,Espagne,Tr. libre,https://www.transfermarkt.fr/inigo-martinez/profil/spieler/158863,18,1,0,1639,À récupérer
Nathan Redmond,,Angleterre,Tr. libre,https://www.transfermarkt.fr/nathan-redmond/profil/spieler/129078,29,6,6,1838,À récupérer
Yerry Mina,,Colombie,Tr. libre,https://www.transfermarkt.fr/yerry-mina/profil/spieler/289446,8,2,0,686,À récupérer
Adama Traoré,,Espagne,Tr. libre,https://www.transfermarkt.fr/adama-traore/profil/spieler/204103,40,3,2,1878,À récupérer
Adama Traoré,,Espagne,Tr. libre,https://www.transfermarkt.fr/adama-traore/profil/spieler/204103,40,3,2,1878,À récupérer
Manu Sánchez,,Espagne,Tr. libre,https://www.transfermarkt.fr/manu-sanchez/profil/spieler/618809,36,0,4,2470,À récupérer
Bertrand Traoré,,Burkina Faso,Tr. libre,https://www.transfermarkt.fr/bertrand-traore/profil/spieler/131996,26,5,1,1214,À récupérer
Nathan Redmond,,Angleterre,Tr. libre,https://www.transfermarkt.fr/nathan-redmond/profil/spieler/129078,29,6,6,1838,À récupérer
Diego Rossi,,Uruguay,"6,00 mio. €",https://www.transfermarkt.fr/diego-rossi/profil/spieler/317454,67,9,17,3991,À récupérer
Isak Hien,,Suède,"8,86 mio. €",https://www.transfermarkt.fr/isak-hien/profil/spieler/503075,39,1,0,3237,À récupérer
Mitchel Bakker,,Pays-Bas,"8,80 mio. €",https://www.transfermarkt.fr/mitchel-bakker/profil/spieler/361065,40,4,2,2602,À récupérer
Ethan Ampadu,,Pays de Galles,"8,10 mio. €",https://www.transfermarkt.fr/ethan-ampadu/profil/spieler/392771,35,1,1,2947,À récupérer
Alan Varela,,Argentine,"8,00 mio. €",https://www.transfermarkt.fr/alan-varela/profil/spieler/756990,34,1,1,2554,À récupérer
Strahinja Erakovic,,Serbie,"8,00 mio. €",https://www.transfermarkt.fr/strahinja-erakovic/profil/spieler/574660,47,0,2,3959,À récupérer
Federico Redondo,,Argentine,"7,45 mio. €",https://www.transfermarkt.fr/federico-redondo/profil/spieler/909758,45,2,2,3169,À récupérer
Angelo Fulgini,,Nouvelle-Calédonie,"7,20 mio. €",https://www.transfermarkt.fr/angelo-fulgini/profil/spieler/250013,37,2,3,1599,À récupérer
Ryan Giles,,Angleterre,"5,85 mio. €",https://www.transfermarkt.fr/ryan-giles/profil/spieler/504581,48,0,12,4101,À récupérer
Edgar González,,Espagne,"4,50 mio. €",https://www.transfermarkt.fr/edgar-gonzalez/profil/spieler/401624,31,1,0,2340,À récupérer
Donny van de Beek,,Pays-Bas,"Montant du prêt:3,00 mio. €",https://www.transfermarkt.fr/donny-van-de-beek/profil/spieler/288255,10,0,0,294,À récupérer
Lucas Tousart,,France,"2,80 mio. €",https://www.transfermarkt.fr/lucas-tousart/profil/spieler/353948,34,6,3,3005,À récupérer
Andreas Schjelderup,,Norvège,"Montant du prêt:2,50 mio. €",https://www.transfermarkt.fr/andreas-schjelderup/profil/spieler/670103,24,11,1,1580,À récupérer
Andoni Gorosabel,,Espagne,"1,50 mio. €",https://www.transfermarkt.fr/andoni-gorosabel/profil/spieler/289255,35,0,0,2186,À récupérer
Robert Renan,,Brésil,"Montant du prêt:1,50 mio. €",https://www.transfermarkt.fr/robert-renan/profil/spieler/958598,10,0,0,897,À récupérer
Anastasios Bakasetas,,Grèce,"1,00 mio. €",https://www.transfermarkt.fr/anastasios-bakasetas/profil/spieler/162571,41,13,11,3106,À récupérer
Thilo Kehrer,,Allemagne,Montant du prêt:500 K €,https://www.transfermarkt.fr/thilo-kehrer/profil/spieler/228948,38,0,2,2953,À récupérer
Sergi Canós,,Espagne,250 K €,https://www.transfermarkt.fr/sergi-canos/profil/spieler/251845,14,4,3,531,À récupérer
Ryan Kent,,Angleterre,Tr. libre,https://www.transfermarkt.fr/ryan-kent/profil/spieler/279457,44,3,10,3671,À récupérer
