Nom,Age,Nationalite,Valeur_Marchande,Prix_Raw,URL_Profil
Benjamin Pavard,27,France,"40,00 mio. €","31,40 mio. €",https://www.transfermarkt.fr/benjamin-pavard/profil/spieler/353366
Vitor Roque,18,Brésil,"40,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/vitor-roque/profil/spieler/943837
Xavi Simons,20,Pays-Bas,"40,00 mio. €","4,00 mio. €",https://www.transfermarkt.fr/xavi-simons/profil/spieler/566931
Edson Álvarez,25,Mexique,"35,00 mio. €","38,00 mio. €",https://www.transfermarkt.fr/edson-alvarez/profil/spieler/401356
James Ward-Prowse,28,Angleterre,"38,00 mio. €","34,80 mio. €",https://www.transfermarkt.fr/james-ward-prowse/profil/spieler/181579
Mateo Kovacic,29,Croatie,"38,00 mio. €","29,10 mio. €",https://www.transfermarkt.fr/mateo-kovacic/profil/spieler/51471
Tino Livramento,20,Angleterre,"25,00 mio. €","37,20 mio. €",https://www.transfermarkt.fr/tino-livramento/profil/spieler/503981
Nicolas Jackson,22,Sénégal,"30,00 mio. €","37,00 mio. €",https://www.transfermarkt.fr/nicolas-jackson/profil/spieler/776890
André Onana,27,Cameroun,"35,00 mio. €","50,20 mio. €",https://www.transfermarkt.fr/andre-onana/profil/spieler/234509
Loïs Openda,23,Belgique,"35,00 mio. €","40,00 mio. €",https://www.transfermarkt.fr/lois-openda/profil/spieler/368887
Ibrahim Sangaré,25,Côte d'Ivoire,"35,00 mio. €","35,00 mio. €",https://www.transfermarkt.fr/ibrahim-sangare/profil/spieler/375885
Elye Wahi,20,France,"35,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/elye-wahi/profil/spieler/659542
Orkun Kökçü,22,Turquie,"35,00 mio. €","29,70 mio. €",https://www.transfermarkt.fr/orkun-kokcu/profil/spieler/454567
Giacomo Raspadori,23,Italie,"35,00 mio. €","28,00 mio. €",https://www.transfermarkt.fr/giacomo-raspadori/profil/spieler/405885
Ansu Fati,20,Espagne,Inconnu,"35,00 mio. €",https://www.transfermarkt.fr/ansu-fati/profil/spieler/466810
Lionel Messi,36,Argentine,Inconnu,"35,00 mio. €",https://www.transfermarkt.fr/lionel-messi/profil/spieler/28003
João Pedro,21,Brésil,"32,00 mio. €","34,20 mio. €",https://www.transfermarkt.fr/joao-pedro/profil/spieler/626724
