Nom,Age,Nationalite,Prix_Raw,URL_Profil,Position,Matchs_22_23,Buts_22_23,Minutes_22_23
Boulaye Dia,29,Sénégal,"14,40 mio. €",https://www.transfermarkt.fr/boulaye-dia/profil/spieler/626913,Avant-centre,33,16,2526
Timothy Castagne,30,Belgique,"13,00 mio. €",https://www.transfermarkt.fr/timothy-castagne/profil/spieler/262226,Arrière droit,42,2,3562
Franck Kessié,29,Côte d'Ivoire,"12,50 mio. €",https://www.transfermarkt.fr/franck-kessie/profil/spieler/294808,Milieu central,43,3,1801
Arnaut Danjuma,29,Pays-Bas,"Montant du prêt:3,00 mio. €",https://www.transfermarkt.fr/arnaut-danjuma/profil/spieler/355861,Ailier gauche,29,8,1012
Kieran Tierney,28,Écosse,"Montant du prêt:1,40 mio. €",https://www.transfermarkt.fr/kieran-tierney/profil/spieler/300716,Arrière gauche,36,1,1459
Tetê,25,Brésil,"1,00 mio. €",https://www.transfermarkt.fr/tete/profil/spieler/371256,Ailier droit,33,7,2108
Mattéo Guendouzi,26,France,"Montant du prêt:1,00 mio. €",https://www.transfermarkt.fr/matteo-guendouzi/profil/spieler/465830,Milieu central,43,5,2889
Alejandro Grimaldo,30,Espagne,Tr. libre,https://www.transfermarkt.fr/alejandro-grimaldo/profil/spieler/193082,Arrière gauche,54,8,4821
Youri Tielemans,28,Belgique,Tr. libre,https://www.transfermarkt.fr/youri-tielemans/profil/spieler/249565,Milieu central,37,4,2829
Marco Asensio,30,Espagne,Tr. libre,https://www.transfermarkt.fr/marco-asensio/profil/spieler/296622,Milieu offensif,51,12,2029
Karim Benzema,38,France,Tr. libre,https://www.transfermarkt.fr/karim-benzema/profil/spieler/18922,Avant-centre,43,31,3631
Orel Mangala,27,Belgique,"Montant du prêt:11,70 mio. €",https://www.transfermarkt.fr/orel-mangala/profil/spieler/289592,Milieu défensif,32,1,1910
Anatoliy Trubin,24,Ukraine,"10,00 mio. €",https://www.transfermarkt.fr/anatoliy-trubin/profil/spieler/537844,Gardien de but,38,0,3450
Djibril Sow,29,Suisse,"10,00 mio. €",https://www.transfermarkt.fr/djibril-sow/profil/spieler/212723,Milieu central,47,4,3931
Saïd Benrahma,30,Algérie,"Montant du prêt:6,00 mio. €",https://www.transfermarkt.fr/said-benrahma/profil/spieler/290532,Ailier gauche,52,12,3034
Charles De Ketelaere,24,Belgique,"Montant du prêt:3,00 mio. €",https://www.transfermarkt.fr/charles-de-ketelaere/profil/spieler/435772,Milieu offensif,40,0,1481
Wilfried Zaha,33,Côte d'Ivoire,Tr. libre,https://www.transfermarkt.fr/wilfried-zaha/profil/spieler/145988,Ailier gauche,28,7,2384
Marcel Sabitzer,31,Autriche,"19,00 mio. €",https://www.transfermarkt.fr/marcel-sabitzer/profil/spieler/106987,Milieu central,42,4,2054
Merih Demiral,27,Turquie,"17,00 mio. €",https://www.transfermarkt.fr/merih-demiral/profil/spieler/340879,Défenseur central,28,1,1524
Noah Okafor,25,Suisse,"15,50 mio. €",https://www.transfermarkt.fr/noah-okafor/profil/spieler/346890,Ailier gauche,32,10,1851
Granit Xhaka,33,Suisse,"15,00 mio. €",https://www.transfermarkt.fr/granit-xhaka/profil/spieler/111455,Milieu défensif,47,9,3704
Cengiz Ünder,28,Turquie,"15,00 mio. €",https://www.transfermarkt.fr/cengiz-under/profil/spieler/341647,Ailier droit,46,5,2924
Ludovic Blas,28,France,"15,00 mio. €",https://www.transfermarkt.fr/ludovic-blas/profil/spieler/288225,Milieu droit,51,12,3945
Sander Berge,27,Norvège,"13,90 mio. €",https://www.transfermarkt.fr/sander-berge/profil/spieler/333014,Milieu défensif,43,7,3425
Ismaïla Sarr,27,Sénégal,"13,00 mio. €",https://www.transfermarkt.fr/ismaila-sarr/profil/spieler/410225,Ailier droit,39,10,3181
Fred,32,Brésil,"9,74 mio. €",https://www.transfermarkt.fr/fred/profil/spieler/191614,Milieu central,56,6,2277
Demarai Gray,29,Jamaïque,"9,30 mio. €",https://www.transfermarkt.fr/demarai-gray/profil/spieler/292417,Ailier gauche,36,6,2715
Ian Maatsen,23,Pays-Bas,"Montant du prêt:2,30 mio. €",https://www.transfermarkt.fr/ian-maatsen/profil/spieler/485585,Arrière gauche,42,4,3552
Armel Bella-Kotchap,24,Allemagne,"Montant du prêt:2,00 mio. €",https://www.transfermarkt.fr/armel-bella-kotchap/profil/spieler/467563,Défenseur central,26,0,2020
Daniel Podence,30,Portugal,"Montant du prêt:1,50 mio. €",https://www.transfermarkt.fr/daniel-podence/profil/spieler/256977,Ailier gauche,37,6,1925
Giovanni Reyna,23,États-Unis,"Montant du prêt:1,00 mio. €",https://www.transfermarkt.fr/giovanni-reyna/profil/spieler/504215,Milieu offensif,30,7,1016
Ramy Bensebaini,30,Algérie,Tr. libre,https://www.transfermarkt.fr/ramy-bensebaini/profil/spieler/284732,Défenseur central,30,7,2570
Raphaël Guerreiro,32,Portugal,Tr. libre,https://www.transfermarkt.fr/raphael-guerreiro/profil/spieler/170986,Arrière gauche,36,6,3047
İlkay Gündoğan,35,Allemagne,Tr. libre,https://www.transfermarkt.fr/ilkay-gundogan/profil/spieler/53622,Milieu central,51,11,3856
Jefferson Lerma,31,Colombie,Tr. libre,https://www.transfermarkt.fr/jefferson-lerma/profil/spieler/262980,Milieu défensif,37,5,3255
Jonathan Bamba,29,Côte d'Ivoire,Tr. libre,https://www.transfermarkt.fr/jonathan-bamba/profil/spieler/292818,Ailier gauche,35,6,2872
Ivan Ilić,24,Serbie,"16,50 mio. €",https://www.transfermarkt.fr/ivan-ilic/profil/spieler/470794,Milieu central,27,2,2151
Mauro Icardi,32,Argentine,"10,00 mio. €",https://www.transfermarkt.fr/mauro-icardi/profil/spieler/68863,Avant-centre,26,23,2009
Dean Henderson,28,Angleterre,"17,50 mio. €",https://www.transfermarkt.fr/dean-henderson/profil/spieler/258919,Gardien de but,20,0,1800
Iliman Ndiaye,25,Sénégal,"17,00 mio. €",https://www.transfermarkt.fr/iliman-ndiaye/profil/spieler/623570,Ailier droit,52,15,4108
Mohammed Salisu,26,Ghana,"15,00 mio. €",https://www.transfermarkt.fr/mohammed-salisu/profil/spieler/563963,Défenseur central,28,0,2439
