Nom,Age,Nationalite,Prix_Raw,URL_Profil,Position,Matchs_22_23,Buts_22_23,Minutes_22_23
Rodrigo Becão,30,Brésil,"8,31 mio. €",https://www.transfermarkt.fr/rodrigo-becao/profil/spieler/410158,Défenseur central,28,2,2487
Franck Honorat,29,France,"8,00 mio. €",https://www.transfermarkt.fr/franck-honorat/profil/spieler/229006,Ailier droit,35,6,2638
Daniel Muñoz,29,Colombie,"8,00 mio. €",https://www.transfermarkt.fr/daniel-munoz/profil/spieler/493003,Arrière droit,39,8,3410
Ruslan Malinovskyi,32,Ukraine,"7,70 mio. €",https://www.transfermarkt.fr/ruslan-malinovskyi/profil/spieler/207877,Milieu offensif,38,3,2029
Julian Weigl,30,Allemagne,"7,18 mio. €",https://www.transfermarkt.fr/julian-weigl/profil/spieler/196792,Milieu défensif,27,1,2063
Junior Dina Ebimbe,25,Cameroun,"6,50 mio. €",https://www.transfermarkt.fr/junior-dina-ebimbe/profil/spieler/536482,Milieu droit,29,3,1466
Calvin Stengs,27,Pays-Bas,"6,00 mio. €",https://www.transfermarkt.fr/calvin-stengs/profil/spieler/409344,Milieu offensif,37,3,2814
Auston Trusty,27,États-Unis,"5,80 mio. €",https://www.transfermarkt.fr/auston-trusty/profil/spieler/389253,Défenseur central,48,4,4320
Juan Brunetta,28,Argentine,"5,40 mio. €",https://www.transfermarkt.fr/juan-brunetta/profil/spieler/466268,Milieu offensif,39,11,3124
Sergio Camello,24,Espagne,"5,00 mio. €",https://www.transfermarkt.fr/sergio-camello/profil/spieler/505674,Avant-centre,41,7,2608
Zeki Amdouni,25,Suisse,"4,00 mio. €",https://www.transfermarkt.fr/zeki-amdouni/profil/spieler/548729,Avant-centre,52,22,3829
Djed Spence,25,Angleterre,"Montant du prêt:1,10 mio. €",https://www.transfermarkt.fr/djed-spence/profil/spieler/483348,Arrière gauche,16,0,827
Benjamín Rollheiser,25,Argentine,"Montant du prêt:1,00 mio. €",https://www.transfermarkt.fr/benjamin-rollheiser/profil/spieler/491704,Ailier droit,57,12,4345
Deniz Undav,29,Allemagne,Montant du prêt:700 K €,https://www.transfermarkt.fr/deniz-undav/profil/spieler/339314,Avant-centre,30,8,923
Fran Navarro,28,Espagne,Montant du prêt:250 K €,https://www.transfermarkt.fr/fran-navarro/profil/spieler/284883,Avant-centre,43,21,3689
Caleb Okoli,24,Italie,Montant du prêt:100 K €,https://www.transfermarkt.fr/caleb-okoli/profil/spieler/461833,Défenseur central,17,0,953
Hamari Traoré,34,Mali,Tr. libre,https://www.transfermarkt.fr/hamari-traore/profil/spieler/297070,Arrière droit,36,1,2974
Daler Kuzyaev,33,Russie,Tr. libre,https://www.transfermarkt.fr/daler-kuzyaev/profil/spieler/279570,Milieu central,35,5,2541
Manu Sánchez,25,Espagne,Tr. libre,https://www.transfermarkt.fr/manu-sanchez/profil/spieler/618809,Arrière gauche,36,0,2470
Iñigo Martínez,34,Espagne,Tr. libre,https://www.transfermarkt.fr/inigo-martinez/profil/spieler/158863,Défenseur central,18,1,1639
Nathan Redmond,31,Angleterre,Tr. libre,https://www.transfermarkt.fr/nathan-redmond/profil/spieler/129078,Ailier droit,29,6,1838
Yerry Mina,31,Colombie,Tr. libre,https://www.transfermarkt.fr/yerry-mina/profil/spieler/289446,Défenseur central,8,2,686
Adama Traoré,30,Espagne,Tr. libre,https://www.transfermarkt.fr/adama-traore/profil/spieler/204103,Ailier droit,40,3,1878
Adama Traoré,30,Espagne,Tr. libre,https://www.transfermarkt.fr/adama-traore/profil/spieler/204103,Ailier droit,40,3,1878
Manu Sánchez,25,Espagne,Tr. libre,https://www.transfermarkt.fr/manu-sanchez/profil/spieler/618809,Arrière gauche,36,0,2470
Bertrand Traoré,30,Burkina Faso,Tr. libre,https://www.transfermarkt.fr/bertrand-traore/profil/spieler/131996,Ailier droit,26,5,1214
Nathan Redmond,31,Angleterre,Tr. libre,https://www.transfermarkt.fr/nathan-redmond/profil/spieler/129078,Ailier droit,29,6,1838
Diego Rossi,27,Uruguay,"6,00 mio. €",https://www.transfermarkt.fr/diego-rossi/profil/spieler/317454,Milieu offensif,67,9,3991
Isak Hien,27,Suède,"8,86 mio. €",https://www.transfermarkt.fr/isak-hien/profil/spieler/503075,Défenseur central,39,1,3237
Mitchel Bakker,25,Pays-Bas,"8,80 mio. €",https://www.transfermarkt.fr/mitchel-bakker/profil/spieler/361065,Milieu gauche,40,4,2602
Ethan Ampadu,25,Pays de Galles,"8,10 mio. €",https://www.transfermarkt.fr/ethan-ampadu/profil/spieler/392771,Milieu défensif,35,1,2947
Alan Varela,24,Argentine,"8,00 mio. €",https://www.transfermarkt.fr/alan-varela/profil/spieler/756990,Milieu défensif,34,1,2554
Strahinja Erakovic,25,Serbie,"8,00 mio. €",https://www.transfermarkt.fr/strahinja-erakovic/profil/spieler/574660,Défenseur central,47,0,3959
Federico Redondo,23,Argentine,"7,45 mio. €",https://www.transfermarkt.fr/federico-redondo/profil/spieler/909758,Milieu défensif,45,2,3169
Angelo Fulgini,29,Nouvelle-Calédonie,"7,20 mio. €",https://www.transfermarkt.fr/angelo-fulgini/profil/spieler/250013,Milieu offensif,37,2,1599
Ryan Giles,26,Angleterre,"5,85 mio. €",https://www.transfermarkt.fr/ryan-giles/profil/spieler/504581,Arrière gauche,48,0,4101
Edgar González,28,Espagne,"4,50 mio. €",https://www.transfermarkt.fr/edgar-gonzalez/profil/spieler/401624,Défenseur central,31,1,2340
Donny van de Beek,28,Pays-Bas,"Montant du prêt:3,00 mio. €",https://www.transfermarkt.fr/donny-van-de-beek/profil/spieler/288255,Milieu central,10,0,294
Lucas Tousart,28,France,"2,80 mio. €",https://www.transfermarkt.fr/lucas-tousart/profil/spieler/353948,Milieu central,34,6,3005
Andreas Schjelderup,21,Norvège,"Montant du prêt:2,50 mio. €",https://www.transfermarkt.fr/andreas-schjelderup/profil/spieler/670103,Ailier gauche,24,11,1580
Andoni Gorosabel,29,Espagne,"1,50 mio. €",https://www.transfermarkt.fr/andoni-gorosabel/profil/spieler/289255,Arrière droit,35,0,2186
Robert Renan,22,Brésil,"Montant du prêt:1,50 mio. €",https://www.transfermarkt.fr/robert-renan/profil/spieler/958598,Défenseur central,10,0,897
Anastasios Bakasetas,32,Grèce,"1,00 mio. €",https://www.transfermarkt.fr/anastasios-bakasetas/profil/spieler/162571,Milieu offensif,41,13,3106
Thilo Kehrer,29,Allemagne,Montant du prêt:500 K €,https://www.transfermarkt.fr/thilo-kehrer/profil/spieler/228948,Défenseur central,38,0,2953
Sergi Canós,29,Espagne,250 K €,https://www.transfermarkt.fr/sergi-canos/profil/spieler/251845,Ailier gauche,14,4,531
Ryan Kent,29,Angleterre,Tr. libre,https://www.transfermarkt.fr/ryan-kent/profil/spieler/279457,Ailier gauche,44,3,3671
