Nom,Age,Position_Encoded,Valeur_Marchande_Clean,Matchs_22_23,Buts_22_23,Minutes_22_23,Duree_Contrat,Prix,Ligue_Autre,Ligue_Bundesliga,Ligue_LaLiga,Ligue_Ligue 1,Ligue_Premier League,Ligue_Serie A
Mateo Tanlongo,22,3,,14,0,158,4.0,2500000.0,True,False,False,False,False,False
Ryan Flamingo,23,2,,34,3,2803,6.0,2500000.0,True,False,False,False,False,False
Nacho Vidal,31,2,,22,1,1354,4.0,2500000.0,False,False,True,False,False,False
Toni Lato,28,2,,27,1,1150,4.0,2500000.0,False,False,True,False,False,False
Vitor Hugo,34,2,,60,4,4669,5.0,2500000.0,True,False,False,False,False,False
Tin Jedvaj,30,2,,34,1,2781,4.0,2500000.0,True,False,False,False,False,False
Bersant Celina,29,3,,36,1,2156,3.0,2500000.0,True,False,False,False,False,False
Callum Styles,25,2,,30,2,1898,5.0,2500000.0,True,False,False,False,False,False
Naci Ünüvar,22,4,,13,3,511,3.0,2500000.0,True,False,False,False,False,False
Liziero,28,3,,19,0,903,5.0,2500000.0,True,False,False,False,False,False
Oliver Burke,28,4,,34,4,1078,6.0,2500000.0,False,True,False,False,False,False
Lucas Oliveira,30,2,,30,2,2572,3.0,2500000.0,True,False,False,False,False,False
Raúl Moro,23,4,,28,1,863,8.0,2500000.0,False,False,True,False,False,False
Mariano Díaz,32,4,,11,0,156,4.0,2500000.0,False,False,True,False,False,False
Thomas Meunier,34,2,,18,0,1206,3.0,2500000.0,False,False,False,True,False,False
Liam Henderson,29,3,,26,0,1060,4.0,2500000.0,True,False,False,False,False,False
Daley Sinkgraven,30,2,,12,0,342,3.0,2500000.0,True,False,False,False,False,False
Pontus Jansson,34,2,,27,2,1983,4.0,2500000.0,True,False,False,False,False,False
Jens Petter Hauge,26,4,,29,0,809,5.0,2500000.0,True,False,False,False,False,False
Rareș Ilie,22,3,,17,0,637,3.0,2500000.0,True,False,False,False,False,False
Samuel Kalu,28,4,,9,0,230,4.0,2500000.0,True,False,False,False,False,False
Alexander Barboza,30,2,,40,5,3518,3.0,2500000.0,True,False,False,False,False,False
Gerrit Holtmann,30,4,,26,1,1112,4.0,2500000.0,True,False,False,False,False,False
Aaron Ramsey,35,3,,34,1,2100,1.0,2500000.0,True,False,False,False,False,False
Stéphane Diarra,27,4,,30,3,1220,5.0,2500000.0,True,False,False,False,False,False
Kieffer Moore,33,4,,29,4,1409,5.0,2500000.0,True,False,False,False,False,False
Nicolás Freire,31,2,,33,2,2953,3.0,2500000.0,True,False,False,False,False,False
Ramon,24,2,,11,0,507,3.0,2500000.0,True,False,False,False,False,False
Giuseppe Pezzella,28,2,,16,0,923,5.0,2500000.0,False,False,False,False,False,True
