Nom,Age,Position_Encoded,Valeur_Marchande_Clean,Matchs_22_23,Buts_22_23,Minutes_22_23,Duree_Contrat,Prix,Ligue_Autre,Ligue_Bundesliga,Ligue_LaLiga,Ligue_Ligue 1,Ligue_Premier League,Ligue_Serie A
Timon Wellenreuther,30,1,2000000.0,14,0,1290,4.0,1000000.0,True,False,False,False,False,False
Tomas Suslov,23,3,2000000.0,31,1,2176,4.0,1000000.0,False,False,False,False,False,True
Sandro Ramírez,30,4,2000000.0,22,7,1245,3.0,1000000.0,True,False,False,False,False,False
Sergi Guardiola,34,4,2000000.0,32,3,1699,3.0,1000000.0,True,False,False,False,False,False
Koki Machida,28,2,2000000.0,10,0,855,1.0,1000000.0,False,True,False,False,False,False
Talles Costa,23,3,2000000.0,10,0,170,4.0,1000000.0,True,False,False,False,False,False
Patrick,33,3,2000000.0,45,1,1790,3.0,940000.0,True,False,False,False,False,False
Javier Altamirano,26,3,2000000.0,23,3,1789,5.0,918000.0,True,False,False,False,False,False
Casper Højer,31,2,2000000.0,23,2,1401,3.0,900000.0,True,False,False,False,False,False
Noah Sadiki,21,3,2000000.0,32,0,1643,7.0,900000.0,False,False,False,False,True,False
Thomas van den Belt,24,3,2000000.0,37,16,3270,6.0,850000.0,True,False,False,False,False,False
Sebastián Gómez,29,3,2000000.0,40,2,3085,5.0,820000.0,True,False,False,False,False,False
Stratos Svarnas,28,2,2000000.0,39,3,3552,4.0,800000.0,True,False,False,False,False,False
Maximilian Wittek,30,2,2000000.0,31,3,2720,5.0,750000.0,True,False,False,False,False,False
Marouan Azarkan,24,4,2000000.0,29,4,1941,3.0,750000.0,True,False,False,False,False,False
Mateo Klimowicz,25,3,2000000.0,24,2,947,4.0,750000.0,True,False,False,False,False,False
Lino Tempelmann,27,3,2000000.0,34,2,3012,5.0,700000.0,True,False,False,False,False,False
Julián López,26,3,2000000.0,51,2,3596,3.0,650000.0,True,False,False,False,False,False
Andrés Perea,25,3,2000000.0,21,4,1105,5.0,594000.0,True,False,False,False,False,False
Noah Sonko Sundberg,29,2,2000000.0,37,0,3223,3.0,550000.0,True,False,False,False,False,False
Maximilian Mittelstädt,28,2,2000000.0,17,0,852,5.0,500000.0,False,True,False,False,False,False
Halil Dervişoğlu,26,4,2000000.0,11,1,152,3.0,500000.0,True,False,False,False,False,False
Stefan Mitrovic,35,2,2000000.0,22,0,1679,4.0,500000.0,True,False,False,False,False,False
Milos Degenek,31,2,2000000.0,13,0,947,4.0,500000.0,True,False,False,False,False,False
Antonio Palumbo,29,3,2000000.0,36,5,2835,5.0,500000.0,True,False,False,False,False,False
